auteur,commentaire,likes,date_publication
@MIL-LOW,"je suis mort personne a remarqué que JP a dit qu'il avait 50 ans et qu'il avait commencé à 25 ans mdr donc les 12 années d'études 
à la poubelle",0,2025-05-05T08:59:56Z
@captainlibs,"Par contre, la thématique imposé au cocktails pour mettre en avant sa boisson, c'est pas fous fous. Si une personne sur les 3 avait choisi, ça aurait pu être sympa mais là c'est clairement imposé par SQUEEZIE, trop flag red flag.",1,2025-05-05T08:59:37Z
@Bty-ud5be,Trop drôle 🤣🤣 sd Tiako il régale,2,2025-05-05T08:59:28Z
@ib7375,Enguerrand beau gosse hein!!,1,2025-05-05T08:57:08Z
@SoumiaBenallal,Le tableau de mehdi en fond ptdrrrrr,0,2025-05-05T08:56:42Z
@PrescilliaCf,Sdm c’est vraiment le rappeur le plus drôle de France 😂😂😂,0,2025-05-05T08:56:40Z
@prunechan45,enfin,0,2025-05-05T08:52:30Z
@Rosycrazy.94,MES PRÉFÉRÉS😁🥰🥰,0,2025-05-05T08:52:10Z
@luckieluck6866,le monteur est incroyable,0,2025-05-05T08:51:27Z
@luckieluck6866,Dommage de pas avoir eu les anecdotes de caroline en vrai,0,2025-05-05T08:50:59Z
@eikikizukaka,Love Caroline ❤,0,2025-05-05T08:50:24Z
@G380-b8n,"Aubestine, la manguE 🥭 😭",0,2025-05-05T08:50:16Z
@sianat5421,"Venu dans les commentaires pour féliciter les monteurs et je vois que tout les commentaires en parlent, gg pour le boulot",3,2025-05-05T08:49:45Z
@linepalmers5536,J’ai trouver le monteur génial !!!! Bravo à lui il est trop fort 👏👏👏,0,2025-05-05T08:48:00Z
@apollinlf5550,j’étais mort de rire tt la vidéo,0,2025-05-05T08:45:56Z
@EAlY_6,Je suis le seul à trouvé que le ou les monteurs sont beaucoup trop alaise dans le montage ? Je parle pas des bruitages mais des commentaires qu’ils font a chaque fois que squeezie ou les autres parle comme s’ils étaient avec eux c’est insupportable,0,2025-05-05T08:45:28Z
@jeremymenu9230,masterclass a nouveau du monteur,0,2025-05-05T08:44:24Z
@Mayloss,Tiako j’étais à bx c’était mechaaaant,0,2025-05-05T08:43:29Z
@karmatse197,Fergus il a trop la tête de Otis dans sex education + le tableau de Malek de l'ancienne vidéo franchement absolut cinema ✋🏿🤚🏿,2,2025-05-05T08:42:30Z
@aureliebonnet1133,"Squeezie les muscles à l'air 😅 qui l'eût crû ?? La musculation te va si bien (oui partie où il présente sa boisson que je vais acheter juste parce que c'est lui et j'assume totalement en espérant qu'elle soit bonne 😮).
Vidéo toujours drôle ce concept et le concept on nous juge sans nous connaître j'adore trop. 
Montage vidéo toujours très drôle merci 😅😅 ..  bref merci à toute l'équipe et aux invités pour cette vidéo ! Et évidemment merci Squeezie 😊",0,2025-05-05T08:42:10Z
@Zemourette,"Meilleur concept au monde, on se tape des barres avec vous c’est vraiment le meilleur concept que j’attend avec impatience",0,2025-05-05T08:41:25Z
@atuu_00,"Tu bosses toujours avec Marmeladz ? (Cc Stérin, le Dark Sidious de l’extrême droite)",0,2025-05-05T08:41:15Z
@aanonyme7412,On en parle qu'ils ont taillé un mec sur une réponse de maths alors que leur réponse était fausse ?,0,2025-05-05T08:40:45Z
@milo5h,"La vidéo commence par ""attends wesheeuuuh"" 🤦",0,2025-05-05T08:39:47Z
@evanameu4172,Bravo les monteurs 🎉,0,2025-05-05T08:38:33Z
@MomoxStudio,26:47 effectivement le calcul est bon SAUF à la fin. Il perd 2min de RETARD donc c'est des minutes qu'on doit ADDITIONNER au total et non soustraire. C'est donc 96min + 2min =98min soit 1h38,9,2025-05-05T08:37:47Z
@badhi65,"Franchement faut préparer mieux les émissions,  faut être vraiment bête pour dire qu'il faut 26 minutes pour faire 8km à 5km/h. Ça manque de sérieux et ca gâche toutes les vidéos car on ne fait plus confiance à la production.",0,2025-05-05T08:36:10Z
@johanranque13,Mais quelle pépite cet épisode ! 🤩,0,2025-05-05T08:36:01Z
@youngzebra,"les montages sont tellement excessif c'est soulant, la vidéo était cool quand même",0,2025-05-05T08:35:43Z
@sam.s8270,la mangue 🥭,0,2025-05-05T08:34:32Z
@kurdo-h1j,"enfin un sponso intéressant! kombucha le top, bien vu le squeezzzzzz",0,2025-05-05T08:34:02Z
@chokriimen253,Est-ce que y’aura tes boissons à dubai?,0,2025-05-05T08:33:59Z
@AssiaQouchbal,Incroyable cet episode !! 🤣🤣🤣,0,2025-05-05T08:31:15Z
@adladebrouille3314,Franchement c’est la première vidéo que j’ai regardé sur ça chaîne et c’est cooolll’,1,2025-05-05T08:30:49Z
@oasisbefruit,SDMangue c'est oui 🤝,8,2025-05-05T08:29:48Z
@PierreChassaing,"Le montage et la vidéo en elle même est incroyable ! 

Rien à dire !",1,2025-05-05T08:29:34Z
@davidgamingchienn,Il a eu besoin d'une calculatrice pour faire 8:5 le prof xD,1,2025-05-05T08:28:57Z
@JINX.jz.x,"51:02 ""tu as tué ma boule"" s'il vous plaît, faites en sorte que ça devienne une réf 😭😂",48,2025-05-05T08:28:19Z
@SleepingCreatures,ENNNNNNH j'ai fait le PGCE moi ! C'est le véritable diplôme britannique pour être prof dans le secondaire (et il duuuur :')),0,2025-05-05T08:26:44Z
@noemie6013,"Mais Caroline je l’aime , elle est tellement solaire !",0,2025-05-05T08:26:27Z
@user-mh2qc9cv2n,CAROLINE TU SERAS UNE MAMAN FORMIDABLE !!!!,0,2025-05-05T08:26:23Z
@lauramigne,Le montage est toujours aussi exceptionnel 🤩 la MANGUEEEEEEUUU,0,2025-05-05T08:26:22Z
@SimplementLoic,SDM me tabasse de rire vraiment :'),0,2025-05-05T08:24:52Z
@christophesiegel,"24:20 le résultat de l’exercice de math c est 1h38 , sa seule erreur est d avoir retiré les 2min perdues alors que si on perd du temps on arrive plus tard … voilà bisous",1,2025-05-05T08:24:46Z
@Mrdrauode,franchement je kiffe ce genre de vidéo mais la le montage il je l'ai trouvé indigeste,0,2025-05-05T08:24:43Z
@BaeldarDaeryn,"Ciao Kombucha.

La première boisson au nom italien, d'origine chinoise, fabriquée par un Français 🤣",0,2025-05-05T08:23:44Z
@splitzyoff10,Les monteurs sont trop fort vrm ont vous oublié pas et c clairement le meilleur qui est l'imposteur !!!!,0,2025-05-05T08:23:44Z
@elianfontaine5888,La mangue,1,2025-05-05T08:23:40Z
@PiRL0C,J’aurais trop voulu entendre les histoires de Caroline ^^,0,2025-05-05T08:23:30Z
@hope7953,C'est des questions de physique ça 😂,0,2025-05-05T08:23:27Z
@mhscoot2651,Cet épisode de qui est l'imposteur il est top 3 et pas 3 ème,0,2025-05-05T08:22:01Z
@oignonman8326,LA MANGUUEEUHH 🥭 !!,2,2025-05-05T08:21:57Z
@aymericbeltrando,"fergus, quand il est rentré, sa chemise faisait sortie de boite",1,2025-05-05T08:21:15Z
@theodarras6143,Le monteur de cette vidéo est juste incroyable 😂🫠,0,2025-05-05T08:21:03Z
@adelsweezy,20:26 Quand une nouvelle recrue SS se présente devant la Gustapo,18,2025-05-05T08:19:56Z
@GigaHugo,L'activité pour les profs de maths c'est un exo niveau CM2 et pour les chirurgiens c'est un docteur maboule mdrrrr,0,2025-05-05T08:19:42Z
@firstouill3308,Tiakola qui est défoncé tout le long du format,0,2025-05-05T08:18:36Z
@NawysYT,Tiako c'est une galère il me tue,0,2025-05-05T08:16:17Z
@marcoclub,Est-ce que la boisson y’en aura aussi en Belgique car je veux trop goûter 😊?,0,2025-05-05T08:15:33Z
@jade971m9,Tiako il a l’air grv bête je sais pas comment expliquer 😭😭😭😭,1,2025-05-05T08:15:23Z
@lvcielforeal895,Un épisode avec Naza et Gradur pour le divertissement !! 😂,0,2025-05-05T08:15:12Z
@DARTAGNAN_YTB,SDM est si drôle ! Que des barres ! Big Up au monteur qui était en mode Plus Ultra sur celle-ci ! 🫡 (m'imaginer un de mes potes faire des claquettes sans réagir m'a fumé),0,2025-05-05T08:14:43Z
@justetinatina,"L'ambiance de la vidéo est incroyable ! Le montage est super bien ,bravo 👏 Merci pour le magnifique moment que j'ai passé en regardant cette vidéo 🙏",0,2025-05-05T08:12:53Z
@nicolasg.5105,"Le monteur pendant la partie sur les chirurgiens, trop fort !",0,2025-05-05T08:11:37Z
@aimeayikon6061,Mais Junior YUDAT qui fait une réf à Modestine très fort !!!!,0,2025-05-05T08:11:05Z
@guillaume6820,"mais comment vous avez pu aimer ce feat mdr ? les gars soyez objectifs et arrêter de tout aimer parce que c'est Squeezie. Le feat est horrible surtout tiakola qui fait que jouer avec sa casquette et qui apporte rien, heureusement que les imposteurs et les pro sont rigolos parce que sinon c'est 0 là",1,2025-05-05T08:11:02Z
@Salma-hf7hs,Le meilleur qui est l’imposteur. Hilarant 😂😂😂😂😂🫶🏽,1,2025-05-05T08:10:00Z
@VanOuzala,"Les effets sonores, les bruitages, c’est une overdose. Le monteur a grave abusé.",0,2025-05-05T08:09:30Z
@Ledecontracte,Tiakola le best,0,2025-05-05T08:09:12Z
@salomet254,Meme le générique de fin il est excellent 😂👏🏼,0,2025-05-05T08:07:52Z
@JayZoneAir,21:16 je suis MORT 😂 best montage,0,2025-05-05T08:07:12Z
@sidyakouyate2351,La video elle date il la sorti que mtn,0,2025-05-05T08:07:08Z
@Thecrew-te,Partie 2,0,2025-05-05T08:05:54Z
@hotsam2888,Frérot les bruitages on dirait un épisode de johnny test pour garder les gamins attentif pitié 😭✌️🥀🥀,0,2025-05-05T08:05:47Z
@CaliB_InK,le 3 eme chirurgien avec les lunettes est totalement un acteur connu ou c'est sont jumeaux j'ai plus le nom,0,2025-05-05T08:05:13Z
@asleepy4389,Le montage wow,0,2025-05-05T08:05:06Z
@taho2895,Je n’ai pas encore regardé la vidéo je met déjà un pouce bleu (pour tiakola),0,2025-05-05T08:04:10Z
@taho2895,Tiakola dans la video ! Hop je m’abonne,1,2025-05-05T08:03:49Z
@taho2895,Ouais fais que des vidéos avec tiakola c est vrm le boss,1,2025-05-05T08:03:31Z
@yassineayoubi3206,Le meilleur épisode ramenez sdm et tiakola ttnle temps,0,2025-05-05T08:03:09Z
@seniroto32,Squeezie le mec que je respecte le moins ❤ cocu par sa meuf trop la honte,0,2025-05-05T08:02:57Z
@Flobigboss,La meilleur video j ai trop rit,0,2025-05-05T08:02:37Z
@therock9861,La mangueuh 🥭,0,2025-05-05T08:01:30Z
@RayanSD-s5y,La meilleure vidéo de Squeezie !! SDM / Tiako trop des barres,0,2025-05-05T08:00:48Z
@honeybuns414,JE SUIS SIIII HEUREUSE,1,2025-05-05T07:59:38Z
@Ohéyaquelquun,Ce sont qui les deux la ??,0,2025-05-05T07:58:45Z
@michelledu7898,Tu les importes de quel pays d'Asie les fruits du dragon ?,0,2025-05-05T07:55:47Z
@anonyme7680,Ce que j’ai retenu de la vidéo : Mangue 🥭,0,2025-05-05T07:55:43Z
@May-jq5kd,Mdrrr prcntre jai peur pour les prof de maths😀,0,2025-05-05T07:52:09Z
@anonyme7680,Squeezie tu peux donner une paye en plus pour le monteur il a fait un taff de ouf,1,2025-05-05T07:51:32Z
@Pacovincentlauronce,Wow mais Tiakola c’est bon rappeur mais il est ultra malpolis,0,2025-05-05T07:50:53Z
@MagicMUSH21,Je connais pas les invités mais c est vraiment cool 😂,1,2025-05-05T07:49:08Z
@yannkemayou5021,"« 35:9 = 17,5 » personne dit rien ??",1,2025-05-05T07:48:48Z
@kriscalefeter4138,Jp on la déjà vu dans une émission sur les voiturier à Paris il fesait 20km ds la journée,0,2025-05-05T07:47:29Z
@alex_is363,Ocho 🖤,0,2025-05-05T07:44:59Z
@aleeexxx_1785,"Tellement marrant, le boss",1,2025-05-05T07:44:55Z
@ronanphelep6795,Les monteurs sont exceptionnels,1,2025-05-05T07:44:43Z
@uubb3503,"JP il était pas crédible depuis le début, 50 ans avec 25 ans d expériences et bac+12, les comptes sont pas bon kévin !!!",1,2025-05-05T07:44:12Z
@myriamm9632,N'arrête jamais YouTube stp squeezie,2,2025-05-05T07:40:26Z
@ericjean6035,Le prof de maths 😂😂,0,2025-05-05T07:40:13Z
@elmirabah,"Destiné au monteur de Squeezie : bravo à vous, vous rendez les vidéos tellement marrantes en plus de la good vibe du plateau. 👏👏👏 En revanche, je pense qu'il serait intéressant de faire un replay très rapide (après le reveal) du visage de l'invité qui voit son imposteur entrer. Personnellement, je retourne en arrière à chaque fois pour revoir ce moment et voir s'il n'y avait pas un indice ou si c'est vraiment poker face.😂",133,2025-05-05T07:40:06Z
@yannkemayou5021,Le pressing sur Enguerrand 🤣🤣🤣🤣,0,2025-05-05T07:36:52Z
@thibperso36,"Le , je ne comprend avec la vois de booba sur sdm 🎉🎉🎉🎉😂😂😂",0,2025-05-05T07:36:08Z
@yykhania,21:19 mais le monteur 😂😂😂😂,0,2025-05-05T07:35:42Z
@louisekergal8343,j’ai jamais autant ris devant une vidéo ytb merci,0,2025-05-05T07:35:34Z
@DragoTKK,"""attends wesh"" j'ai déja grincé des dents :( dommage j'adore ce format :( Insupportables les 2 mecs de cités qui forcent à MORT leurs rires",0,2025-05-05T07:34:46Z
@user-ff7jg2yc3c,13:27 tiakola il a entendu sardine 😂😂😂😂,0,2025-05-05T07:34:38Z
@abderahmaneteraia,c dur de voir tiakola parler a chaque moment sans etre pertinent,1,2025-05-05T07:33:27Z
@thedarknackgameplay1156,Le montage quand caroline la chirurgienne explique j adorés 😂😂😂😂,0,2025-05-05T07:32:53Z
@anonyme7680,Y’a pas de site pour commander les boissons,0,2025-05-05T07:32:12Z
@adeline6112,Il faut vraiment qu’SDM crée une chaîne YT il est tellement hilarant,13,2025-05-05T07:31:55Z
@marvinp3365,C'était l'épisode le plus facile pour reconnaître les imposteurs et leur complice,1,2025-05-05T07:30:57Z
@SggyCrazy,Tiakola il est calme et turbulent a la fois mdrrr,0,2025-05-05T07:30:30Z
@zamer6624,c'est quoi cette episode de fou,0,2025-05-05T07:29:35Z
@doggmasta6452,C est chaud de autant se foutre de la gueule du monde mon sdm 😅 insupportable à la fin genre fait passer tout le monde pour des cons,0,2025-05-05T07:29:05Z
@hmh_off,Légendaire la vidéo 🔥,0,2025-05-05T07:27:41Z
@TyGoat_LoDozo,Ça fait bizarre de passer de l'intelligence de Chabat à deux mecs qui n'ont pas le quart de son QI. Puis on passe sur le fait que SDMerde clash le prenom de Enguerrand alors qu'il s'appelle lui-même Leonard. Sûrement honteux qu'il ai un prénom français. Mamadou ça l'aurait moins choqué.,0,2025-05-05T07:27:01Z
@AmandineGUTLEBEN-COELHO,Il avait pas raison Tiakola? Le voiturier c’est pas lui qui est passé dans la vidéo de mcfly et Carlito avec SDM???,0,2025-05-05T07:26:12Z
@LeRageuxg,Le monteur a vraiment un niveau de folie !!!,0,2025-05-05T07:25:18Z
@tiboweber8835,J’ai juré c’est le meilleur imposteur,0,2025-05-05T07:25:08Z
@yassineyass5957,😂😂😂😂,0,2025-05-05T07:24:36Z
@LeChouan,Okay Jimmy Neutron,0,2025-05-05T07:24:21Z
@ValPettigrow,Tiakola n'avait qu'à dire non s'il ne voulait pas être là. Insup le gars,0,2025-05-05T07:23:43Z
@Anafof_69,Les passages sur Caroline avec les gros plans sur Squeezie et SDM ca m’a explose ptdrrrr,1,2025-05-05T07:23:29Z
@Laly-rv7bd,"Par pitier tout ce que j’ai retenue c’est, MAANGUUUE 🥲😂",0,2025-05-05T07:22:53Z
@agnegneyefeplouf2892,Vincent c’est Fat Giorno,0,2025-05-05T07:22:19Z
@roiror2259,Vdm tTiakola en avais marre d’être la 😂😂😂,0,2025-05-05T07:20:56Z
@tdscrew.levrai,Moi en train de réfléchir avec quel alcool mélanger la boisson de Squeezie,0,2025-05-05T07:20:47Z
@bigstier7115,Merci aux monteurs,0,2025-05-05T07:20:36Z
@imaneaissa304,24:00 enft c 4 cartier c 2km c ça la faute puis il a dit temps perdu on enlevé 2 min alors qu’on doit rajouter 2min,2,2025-05-05T07:19:52Z
@hissatsu31,Oh bordel le montage sur la manche des chirurgiens est exceptionnel 😂,0,2025-05-05T07:19:32Z
@Tourial1999,Cet épisode mérite d'être dans les meilleurs. Montage excellent !,0,2025-05-05T07:18:14Z
@daliaeve1,J'adore tes vidéos lucas,0,2025-05-05T07:18:04Z
@ardaayata7856,quand tu dit a 3 a 8%  de jus apres c est diluer avec de l eau ?,0,2025-05-05T07:18:03Z
@Chlloemrc,Le passage des claquettes et des chirurgiens orhh ptn jai vrm bien ris jppp,0,2025-05-05T07:17:28Z
@kevinr.3107,"26:40 pour info la bonne réponse était 1h38 lol, tout le monde avait faux ^^",7,2025-05-05T07:16:57Z
@Ins0mniiak7,"Gg au monteur ! Les invités ont été top, ca fait plaiz' 😊",0,2025-05-05T07:16:33Z
@Megperle18,"Je pense que c’est l’épisode où j’ai le moins accroché, Sdm et Tiakola se sont dévoilés vers la fin et c’est dommage ! Mais merci pour cette vidéo 🫶🏻",0,2025-05-05T07:15:52Z
@fanfan7848,Squeezie laisse gagner ses invités on dirait,0,2025-05-05T07:15:17Z
@yykhania,« Eheh » en mode « J’le connais grave pas mais il est noir » 😂😂😂,1,2025-05-05T07:14:51Z
@criepas,Première fois ou j’ai envie de gouter une boisson d’un créateur (vue comment j’ai étais déçu par une autre boisson qu’on citera pas),0,2025-05-05T07:14:03Z
@Anne-zi7wz,"Pardon mais Enguerrand (je ne sais pas si il y a un d à la fin ou non), il est célibataire ?",0,2025-05-05T07:14:00Z
@Raphool_YT,toujours un chef-d'oeuvre🤩🤩🤩🤩🤩,1,2025-05-05T07:12:55Z
@anais.naffeti-faget,Quel soleil cette Caroline! 😍,0,2025-05-05T07:08:28Z
@blacklionfamilysquad4293,Tiakola en roue libre sur les verres,0,2025-05-05T07:08:23Z
@AlexAlex-rq7mp,Un très bon ami de ma copine 😅 mince,0,2025-05-05T07:07:16Z
@myyeell5617,Merci pour cette Pepitteee 🎉🎉 toujour aussi incroyable ce format 🙌🏽🙌🏽❤️,1,2025-05-05T07:06:34Z
@withoutpearl,Tiakola depuis il a but le cocktail de victoire il est dans l’espace,0,2025-05-05T07:06:06Z
@nina13122,Mais les gars les calculs de Frantz étaient vrmt bons 😭😭,0,2025-05-05T07:05:45Z
@03venomp02,Le montage 😂,0,2025-05-05T07:03:03Z
@julienolivier9357,Top 3 qui est l'imposteur 🎉,0,2025-05-05T07:02:41Z
@jacksonsogarcon2518,Claquette man 😂,0,2025-05-05T07:00:40Z
@AlexandraMarien,"Merci beaucoup pour se feat je suis une grande fan de tiakola sa m'a fait vraiment plaisir de voir cette vidéo 
Merci 🙏🏼💗",0,2025-05-05T06:58:51Z
@axellekacou548,Meilleur épisode sincèrement 😂,0,2025-05-05T06:58:16Z
@jibriil2200,Franchement on veut revoir Caroline dans une vidéo jsp trop comment tu vas te débrouiller mais débrouilles toi,0,2025-05-05T06:57:30Z
@Neylow.,Lv ils ont trop drôle tiako et sdm 😂😂,0,2025-05-05T06:57:19Z
@theendermidnight,Premier degré ça ma donné envie de reprendre les maths,0,2025-05-05T06:57:11Z
@uriellehto5857,Tiakola et SDM quel banger comme duo !,0,2025-05-05T06:57:10Z
@NicolasSt-Amour,c'est les meilleurs vidéos hahah🤣,0,2025-05-05T06:57:02Z
@borisperez6188,2:38 squeez le meilleur vendeur ça m’a donné trop envie ! C’est la squeezance !,1,2025-05-05T06:56:49Z
@uriellehto5857,Victoire elle a l’air tellement sympa,0,2025-05-05T06:56:37Z
@Freez-d24,Enfaite Tiakola et SDM ils sont venus pour abattre 🤣🤣🤣,0,2025-05-05T06:56:33Z
@uriellehto5857,Purée mais Caroline et Arthur j’peux travailler avec vous ou pas ?????,0,2025-05-05T06:56:19Z
@azer_nz,On avait pas vu un tel feat depuis la 2nd Guerre mondiale.,0,2025-05-05T06:55:32Z
@sS4KUR4,Dédicace à Robestine,0,2025-05-05T06:55:02Z
@davidmacchini6055,La manche des chirurgiens elle est légendaires 😂😂😂😂😂,0,2025-05-05T06:53:27Z
@V_odji,Lourd le montage,0,2025-05-05T06:52:34Z
@thomascorraie4522,42:35 🤣🤣🤣 le montage m'a fait pleurer de rire,0,2025-05-05T06:51:50Z
@Paris-saint-germain-t,12:45,0,2025-05-05T06:51:27Z
@eurydice1994,Moi je dis chapeau pour son produit ! pour une fois que quelqu’un propose quelque chose d’original bon pour la santé et pas de la bouffe industrielle …,0,2025-05-05T06:50:17Z
@KmZFNGaller,c'est ce genre d'invités qu'on veut voir,0,2025-05-05T06:49:09Z
@_yyvanna_5313,Mdrrrr les monteurs >>>>>>>😂😂,0,2025-05-05T06:48:47Z
@RYUMAFRO,"34:44 La session de vannes sur Robestine m’a terminé !
Tiako et SD, faut voir comment ils sont agités ! 😂 LA MANGUEUH ! 🥭",0,2025-05-05T06:47:35Z
@razafimbelorobert6213,tiakola vien à mada stp je suis fane,1,2025-05-05T06:47:13Z
@V_odji,C'était vraiment super drôle ahhaha,0,2025-05-05T06:45:29Z
@thomascorraie4522,38:30 3/3 Easy,0,2025-05-05T06:44:06Z
@erwan7090,"SDM est hilarant,
Claquettes Man je suis dans Paname 😂😂😂😂😂😂😂",3,2025-05-05T06:43:17Z
@so.5982,"Ça pourrait être cool que les pro  fassent une vraie démo de leur talent a la fin de la manche, exemple les danseurs de claquettes que l'on puisse admirer 😊",0,2025-05-05T06:42:59Z
@romainjamond7431,Le montage est exceptionnel j'ai pleuré de rire,0,2025-05-05T06:41:27Z
@RomaneBlécon,La vibe de Caro>>>>>>>❤❤,1,2025-05-05T06:40:31Z
@romainjsh4465,Ludovic qui a encore fait un travail monstrueux bravo,0,2025-05-05T06:40:15Z
@Eden-mt5kx,On n'ent parlé pas asser du monteur ❤❤😂,0,2025-05-05T06:39:51Z
@melodismoi,Ohhh j'aurai beaucoup trop aimé entendre la chirurgienne vu les expressions des visages 🤣🤣,0,2025-05-05T06:38:47Z
@skappey,"Squeezie avec SDM ca devient un vrai sheitan, j'suis cuit",1,2025-05-05T06:35:26Z
@SylverSerum,"Super vidéo, ça me rappelle qu'il va bientôt falloir voter ! On doit faire quoi à ce sujet ?",0,2025-05-05T06:33:34Z
@Pochon974,ah putain les barre de fou 🤣,0,2025-05-05T06:33:11Z
@LouLou-m7c,Sinon pour soutenir les doubleur il y a la pétition touche pas a ma vf,0,2025-05-05T06:32:45Z
@chloedvs674,Les vrais hot girls connaissent Enguerrand ! 😂,1,2025-05-05T06:32:39Z
@tinytinachocochip2896,Le montage de fin pour décrire les opérations es incroyable 😂😂,0,2025-05-05T06:32:14Z
@samuel.d2103,pourquoi les participants de ce concept ont toujours les noms les plus aléatoires 😭,0,2025-05-05T06:31:59Z
@arytb138,Le montage quel banger,0,2025-05-05T06:31:53Z
@Victor.B_B,"En tant que prof, pour l'exercice 2 LE PROF d""EPS À PRESQUE RAISON et squeezie à tord car le sujet ne vas pas dans son sens !!! cela dépend de l'interprétation :

- Si ""4 quartiers de 2km"" signifie que CHAQUE quartiers fait 2 km, alors on a une distance totale de 2*4 = 8km
Avant même de faire la démo ! si il va a 5km/h c'est logique qu'il prenne plus d'une heure car il doit en parcourir 8 ! (donc déjà les 26 minutes de squeezie c'est faux)
Donc puisqu'il va à 5 km/h, sachant que v = d/t alors t = d/v = (8km)/(5hm/h) = 1.6 h -> rabattu en minute (0.6*60 = 36) cela fait 1h et 36 minutes, on ajoute à cela 2 min pour les 4*30sec = 120 sec = 2 min et ça nous donne 1h38 ! Donc pas 1h34 mais on y est presque

- Si ""4 quartiers de 2km"" signifie que TOUT LES QUARTIERS RÉUNIS fait 2 km, alors on a une distance totale de 2km
Et la squeezie à raison mais la question est très mal posée. on a (2km)/(5hm/h) = 0.4 h -> rabattu en minutes (0.4*60 = 24) cela fait 24 minutes, on ajoute à cela 2 min pour les 4*30sec = 26 minutes.

Honnêtement la question est super mal posée donc le prof d'EPS à plus raison d'après le sujet haha",0,2025-05-05T06:31:04Z
@Tess-h7u,Tiakola il est sur la lune 😂,1,2025-05-05T06:30:55Z
@xeluzion1x502,Je tiens a dire que c’est le meilleur épisode😂,1,2025-05-05T06:30:28Z
@kakasharingan5095,Henguerrant c'est jean du jardin 🤣,1,2025-05-05T06:29:03Z
@boubacarba4454,Le duo sdm squeezie🎉🎉🎉🎉,0,2025-05-05T06:27:41Z
@seakry5663,Pas ouf les invités cette fois ci. Mais la vidéo est sympa quand même !,0,2025-05-05T06:24:59Z
@lucalerat2879,«  Jimmy neutron au tableau » 😂😂😂,0,2025-05-05T06:23:07Z
@timbob9579,J’ai hâte de faire des gros cocktail avec ta boisson le squeez,0,2025-05-05T06:22:11Z
@oceanemdhuy,"Toujours un bon moment de rigolade ce concept, invités au top !!",0,2025-05-05T06:19:36Z
@xavierpaolucci7375,"Merci le S de faire encore des vidéo d’une heure qu on aime tant ! 🎉
Et au fait j ai un Shiba et des que je croise des jeunes, je te laisse imaginer leur phrase …. ouai monsieur c est le chien de squeezie 😂",0,2025-05-05T06:19:25Z
@melodismoi,Je ne connaissais pas les invités et franchement c'est une bonne découverte je kiffe ils m'ont grave fait rire,0,2025-05-05T06:18:35Z
@NoaCrebessegues,On attend celui à avec Pierre et Helena,0,2025-05-05T06:17:57Z
@TeDanet,Episode MASTERCLASSE,0,2025-05-05T06:17:17Z
@lachainedeNEVA,tiak il en peut pouvait plus mdr,1,2025-05-05T06:15:43Z
@ASMODHEUS_PTKT,"ca m'abbat squeezie est vraiment devenu stock pour son gabarrit lui qui comme moi était un eternel  phasme lmao... bien jouer, et pour ciao non on s'en fou pas meme ceux qui skip, mais faut tester c'est sur faudrait pas un holy v2",0,2025-05-05T06:15:33Z
@sjl7215,Les monteurs vous êtes trop fort 😂😂,0,2025-05-05T06:15:32Z
@CyrielleTiti,42:39 le visage de Sdm 😂😂😂,0,2025-05-05T06:12:28Z
@maelybourgouin9388,Tiakola il apporte rien à la vidéo c’est une dinguerie,0,2025-05-05T06:10:06Z
@flamez7077,mais wsh y'a Pete Davidson en black,0,2025-05-05T06:09:46Z
@Lamarocainederabat_32,42:58 c aberant le montage 😂,0,2025-05-05T06:09:33Z
@corentintriboullier3013,« Sdm a grandi dans l’ombre de Derek » j’ai pleuré 😂😂,0,2025-05-05T06:09:25Z
@hydra1455,Bonne video dommage les invités sont eclate,0,2025-05-05T06:08:35Z
@jackal8332,Vincent Dedienne,0,2025-05-05T06:06:40Z
@maudhyyhg5125,sdm bcp trop drôle,1,2025-05-05T06:05:19Z
@user-kf9nq5fi5f,24:00 c’est 1h38 vu qu’il perd 2 minutes 😭,0,2025-05-05T06:05:16Z
@sahmimohamed2675,Tiakola 25 ans grandis frère,0,2025-05-05T06:02:06Z
@dzai1046,le boug a gauche si il articule il explose ?,0,2025-05-05T05:59:08Z
@-ouzou-8316,"j'adore ce concept, tiakola absent par contre ou alors il a trop fumé jsp",0,2025-05-05T05:54:53Z
@sarahbaysse9520,J’aurai jamais dû regarder cette vidéo dans les transports 😂😂😂,0,2025-05-05T05:54:29Z
@jade_trh,"ptdrr quand j'ai vu qu'ils étaient surpris au prénom Enguerran, je pensais que c'était pas si peu commun (je vis en bretagne 😭)",0,2025-05-05T05:53:33Z
@NICOVE728,Putain le feat de qualité 😹😹😹😹😹😹🇨🇩🇨🇩🇨🇩🇨🇩🇨🇩 RDC toujours ✨💯,0,2025-05-05T05:53:18Z
@jtesh1079,Pareil mdrr,0,2025-05-05T05:53:13Z
@naomieboulogne1503,Telllllement drôle 🤣🤣🤣,0,2025-05-05T05:53:09Z
@stephanelebreton7153,tiakola il est la juste pour le jus de victoire,0,2025-05-05T05:52:55Z
@nonoas9692,Victoire elle fait des vidéos sur Instagram nan ?,0,2025-05-05T05:49:44Z
@EmySkye,Ducoup pour l'auto sponso il s'auto payes?😭,1,2025-05-05T05:49:13Z
@estebanperez5973,"Sdm c'est tellement un harceleur mdrrrr
Il les martyrise mdrrr",0,2025-05-05T05:49:00Z
