auteur,commentaire,likes,date_publication
@UNKNOWN_66zz,🤯,0,2025-06-25T20:34:03Z
@Lewoinzin8,Là MANgueeeeeeeee,0,2025-06-25T12:37:25Z
@meganairod7070,"Caroline c'est dingue comment elle est solaire, je suis sûr qu'elle va être une super maman",0,2025-06-25T11:27:36Z
@cathyneola-rg5gx,"Est-ce que vous pouvez copier coller ce commentaire pour que squeezie le fasse svp


Squeezie tu peux faire un feet avec Marcus et Lena situation s'il te plaît",0,2025-06-25T04:35:29Z
@Caca2paname1,12:54 la manguueeeeee 🥭🥭🥭🥭,1,2025-06-24T23:51:31Z
@amchermdr2165,La mangue 😂😂😂😂😂,0,2025-06-24T21:59:28Z
@k_gd8,A aiiii le montage de Caroline mort de rire 🤣,0,2025-06-24T19:34:57Z
@Livie1710,La nouvelle série télévisée le club des détectives on piqué ton concept Squeez,0,2025-06-24T18:57:41Z
@kevdd23,L'un des médecins re semble a Vincent Dedienne😂,0,2025-06-24T18:51:55Z
@DavidKingston-n8v,"Formidables émission😊😊😊,c'est super de voir mes artistes préférés dans cette fantastique intégralité❤❤merci à vous",0,2025-06-24T15:36:39Z
@elvisbrou7483,On veut Naza et gradur 🔥🔥🔥,0,2025-06-24T10:51:40Z
@pandi8071,Jai goûter le kamboucha gingembre hibiscus et cest sympa comme boisson sa change du soda et que la bouteille soit en verre fait une belle deco dans ma chambres ( ou comme une gourde a la fin ) ❤,0,2025-06-24T09:12:59Z
@allo372.,Kolakoka il a 2 de QI,0,2025-06-23T21:55:27Z
@MadisonJouvenaux,A 23:55 c bien 1h38 !,0,2025-06-23T21:28:31Z
@rcn_royal4517,Junior on dirait tks,0,2025-06-23T14:09:46Z
@Centelm,Alors. Il est vrai que le montage sur la partie Caroline est assez ouf. 😂,0,2025-06-22T17:47:48Z
@ussalaska2425,Plus de pubs svp la prochaine fois,0,2025-06-21T22:20:05Z
@RoiAliyah-tv4nm,Vous connaissez pas la réf de robestinne ? 🤣🤣🤣,0,2025-06-21T22:08:58Z
@Bicho0p,La mangeeeeeeeuuuuh,0,2025-06-21T21:10:30Z
@SuperKayaya,15:28 Oza zoba yo 😀🇨🇩🇨🇩🇨🇩🇨🇩,1,2025-06-21T20:57:20Z
@BobLéponge-o8p,Tiakola tout le long il kiffe de cocktail 😂😂😂,0,2025-06-21T16:57:46Z
@HajjarAit-w9h,La mangueeeee😂,0,2025-06-21T12:34:52Z
@SynxLunar,OREO,0,2025-06-20T22:57:33Z
@laparisienne9520,21:19 Premier GAOU ca m'a tuééééée 😂😂,0,2025-06-20T21:17:21Z
@marwandjoutidauboin2007,35 divisé par 9 égale 17.5 askip,0,2025-06-20T21:11:04Z
@marie-maudeolivier6344,On ai partie 18:37 sur de la boisson prof j`ai pas compris la,0,2025-06-20T20:07:24Z
@Exterminator-g3c,👍,0,2025-06-20T19:10:25Z
@sofianeantunesouahha1744,JEAN PIERRE😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Wallah il m’a eteint sa tete la il fait peur il t’opère tu deviens mort vivant 😂😂😂😂😂😂,0,2025-06-20T13:27:45Z
@oxydefury7455,la réf avec lorenzo incroyable anthony mdrr,0,2025-06-20T11:44:47Z
@chandrasoupin-coulin7479,C’est dommage qui ya pas mague passion,0,2025-06-20T11:28:21Z
@AnthonyDutter,51:46 Caro était sur le point de perdre les eaux là 😂 Trop adorable cette fille elle a une super vibe!,0,2025-06-20T10:45:51Z
@AnthonyDutter,"44:29 le regard caméra qui veut dire ""c'est normal qu'il se fou de ma gueule ouvertement devant des millions de gens ce mec?"" 😭",0,2025-06-20T10:35:08Z
@AnthonyDutter,Le montage de cette vidéo est légendaire! 🙌 T'es nouveau sur Youtube et tu fais la même vidéo avec un mauvais montage la vidéo fais 126 vues je pari..,0,2025-06-20T10:30:24Z
@jns-u6r,"27:05 sqeezie :en faite c’est toi la fraude , t’es dans la cripto toi😂je m’en remet pas😂😂",0,2025-06-20T09:22:50Z
@chaisekarateka5254,Si un jour je dois me faire opérer je veux que ce soit Caroline et personne d'autre,0,2025-06-19T22:17:57Z
@erikapayen8984,il y a de  l'alcool dans le ciao kombucha,0,2025-06-19T20:52:37Z
@enfantsoleilnoir,Merci squeez,0,2025-06-19T18:37:42Z
@returnthemovie5641,"Mon cerveau a beugué sur le prof de math , Mister Vincent Johnston , ptn rien que le nom jsuis mort bref ... tous ca pour dire qui la un air a l'acteur Jason Sudeikis du film We're the Millers .",0,2025-06-19T15:07:41Z
@sebastienrouthier6030,27:00 Évidemment le papier a squeezie n'a pas la bonne réponses.  On ne peut pas parcourir 8km en 27 minutes si l'on marche a 5km/h !🎉,0,2025-06-19T14:16:54Z
@damiano4292,Jp il dit qu'il a 50 ans et qu'il a 25 ans de métier. Il a donc débuté ses études de chirurgien à 12 ans. Grillé dès le début,1,2025-06-18T23:24:42Z
@solange4318,Se moquer du stress des gens en disant 1000fois qu’il tremble etc c’est honteux,0,2025-06-18T23:00:44Z
@solange4318,"Ils sont tellement violents avec ceux qui viennent c’est honteux 
De la à répéter comment ils parlent devant eux etc",0,2025-06-18T23:00:08Z
@solange4318,"Ils sont tellement violents avec ceux qui viennent c’est honteux 
De la à répéter comment ils parlent devant eux etc",0,2025-06-18T22:59:57Z
@solange4318,Y’a que moi que ça choque comment les invités traitent les intervenants ??,0,2025-06-18T22:59:06Z
@Rosso-Neri19,"Oh le niveau ça fait peur, un bon gros résumé de la France d’aujourd’hui.",2,2025-06-18T22:22:52Z
@llBeastyl,Fergus on dirait Lip dans Shameless 😂,0,2025-06-18T19:07:18Z
@Pigmentopia,C'est drôle comme il change de personnalité en fonction de ses invités!,1,2025-06-18T18:55:22Z
@RapForLife218,ROBESTINE ,0,2025-06-18T18:19:44Z
@mississipi9973,Est ce que il y a de ta boisson importé au Quebec?,0,2025-06-18T00:57:58Z
@CorineSare-gs7ob,C'est ma vidéo préféré,0,2025-06-17T23:55:51Z
@jeremymartinez5829,"J’ai pas capté,  c’est le lequel des deux SDF?",0,2025-06-17T23:08:40Z
@kripswolf,"Je suis le seul a avoir remarqué que le ""faux"" prof de math c'est quand même trompé à son calcul? Il a enlevé les 2 minutes de perte de temps et pas rajouté. la réponse devrait être 1h38 pas 1h34",0,2025-06-17T21:32:05Z
@IsmaKho,Ça se voit tiakola il a ni son bac ni son brevet ni même son permis piéton,2,2025-06-17T19:52:45Z
@Ipeknn,"Pour l'exercice de maths 22:22 J'aurai d'abord fais 6km en 6000m 
6000/5=1200
1200/60=20 Donc ça nous fait 20 minutes",0,2025-06-17T18:25:04Z
@hiyorihancock237,Capacité d'attention de Tiakola : 10 secondes mdrrrr x),0,2025-06-17T16:32:14Z
@Evie_Markson,Le montage est tellement incroyable purée vous êtes des légendes les mecs,0,2025-06-17T12:02:29Z
@nicolbarossi8384,Je vous est confondue comme un oreo,1,2025-06-16T13:19:43Z
@Silvagarcia-w1w,Tiakola qui t'aille son complice mdrrr 😂😂,0,2025-06-16T12:16:28Z
@m.jackson_1958,La vidéo de l’année,1,2025-06-16T05:47:10Z
@lauracitta5192,Jpppp ils sont tellement drôle,0,2025-06-15T23:40:44Z
@rosem927,"Bravo aux monteurs derrières les vidéos vraiment, je n’imagine pas la quantité de travail derrière celle-là. Courage et Bravo. Et vidéo top, serait-il possible d’avoir d’autres vidéos avec Sdm?😊",0,2025-06-15T22:14:08Z
@RomanCOSTA-ji7mq,la sponso elle est incroyable,0,2025-06-15T20:04:22Z
@YSALIEFayat,C’est vrai que le montage est excellent 👌🏾 😂😂des barres de rire comme toujours,1,2025-06-15T12:44:39Z
@mactepppp,thx,0,2025-06-15T11:52:32Z
@mrchris32300,Je ne connaissais pas Tiakola ; j'avais rien raté en fait mdr,2,2025-06-14T22:53:44Z
@آيةألله77,OK top vidéo,0,2025-06-14T21:31:45Z
@آيةألله77,Azert,0,2025-06-14T21:30:59Z
@آيةألله77,Azert,0,2025-06-14T21:30:39Z
@آيةألله77,Azerty,0,2025-06-14T21:30:22Z
@clementine5572,Caroline elle devrait être prof de yoga du rire,0,2025-06-14T20:20:02Z
@mae3730,le ou la monteuse me fait 70% plus rire que la vidéo BANGER tellement fort incroyable,0,2025-06-14T15:27:59Z
@somnia2003,"Ils étaient vraiment disrespectueux, mais sinon bonne vidéo.",3,2025-06-14T13:33:56Z
@oreki913,continue le concept ont adore,0,2025-06-14T12:37:54Z
@ACFPAUTARBES,La distance x la vitesse c la même chose que vitesse x distance,1,2025-06-14T11:11:32Z
@LolaPinet,Il nous en faut un avec Arnaud tsamere et Baptiste le caplin !! 🤣,0,2025-06-14T09:29:55Z
